"SAMPLE_DATE","DB_BLOCKS_GETS_FROM_CACHE","CONSISTENT_GETS_FROM_CACHE","PHYSICAL_READS_CACHE","CACHE_HIT_RADIO"
"12-05-2020 19:23:38",2724183,126568287,7672586,0.940657
"12-05-2020 19:23:40",2726731,126577185,7672692,0.940661
"12-05-2020 19:23:43",2726736,126577185,7672692,0.940661
"12-05-2020 19:23:45",2726741,126577192,7672692,0.940661
"12-05-2020 19:23:47",2726746,126577192,7672692,0.940661
"12-05-2020 19:23:49",2726751,126577192,7672692,0.940661
"12-05-2020 19:23:51",2726756,126577192,7672692,0.940661
"12-05-2020 19:23:53",2726761,126577192,7672692,0.940661
"12-05-2020 19:23:55",2726766,126577192,7672692,0.940661
"12-05-2020 19:23:57",2726771,126577192,7672692,0.940661
"12-05-2020 19:23:59",2726776,126577450,7672692,0.940661
"12-05-2020 19:24:01",2726781,126577450,7672692,0.940661
"12-05-2020 19:24:03",2726786,126577450,7672692,0.940661
"12-05-2020 19:24:05",2726791,126577450,7672692,0.940661
"12-05-2020 19:24:07",2726796,126577450,7672692,0.940661
"12-05-2020 19:24:09",2726801,126577450,7672692,0.940661
"12-05-2020 19:24:11",2726806,126577450,7672692,0.940661
"12-05-2020 19:24:13",2726811,126577453,7672692,0.940661
"12-05-2020 19:24:15",2726816,126577453,7672692,0.940661
"12-05-2020 19:24:18",2726821,126577453,7672692,0.940661
"12-05-2020 19:24:20",2726826,126577453,7672692,0.940661
"12-05-2020 19:24:22",2726831,126577453,7672692,0.940661
"12-05-2020 19:24:24",2726836,126577530,7672692,0.940661
"12-05-2020 19:24:26",2726841,126577613,7672693,0.940661
"12-05-2020 19:24:28",2726846,126577613,7672693,0.940661
"12-05-2020 19:24:30",2726851,126577613,7672693,0.940661
"12-05-2020 19:24:32",2726856,126577613,7672693,0.940661
"12-05-2020 19:24:34",2726954,126583007,7672698,0.940664
"12-05-2020 19:24:36",2726964,126583952,7672698,0.940664
"12-05-2020 19:24:38",2727035,126641809,7680472,0.940631
"12-05-2020 19:24:40",2727113,126939687,7681806,0.940757
"12-05-2020 19:24:42",2727223,127224701,7681806,0.940887
"12-05-2020 19:24:45",2727295,127550856,7681806,0.941035
"12-05-2020 19:24:47",2727300,127924564,7681806,0.941204
"12-05-2020 19:24:49",2727305,128325040,7681806,0.941383
"12-05-2020 19:24:51",2727310,128726820,7681806,0.941562
"12-05-2020 19:24:53",2727315,129128116,7681806,0.94174
"12-05-2020 19:24:55",2727320,129515188,7681806,0.941911
"12-05-2020 19:24:57",2727325,129894034,7681806,0.942077
"12-05-2020 19:25:00",2727330,130301969,7681806,0.942254
"12-05-2020 19:25:02",2727335,130713650,7681806,0.942432
"12-05-2020 19:25:04",2727340,131116004,7681806,0.942605
"12-05-2020 19:25:06",2727345,131516524,7681806,0.942777
"12-05-2020 19:25:08",2727350,131900179,7681806,0.94294
