"SAMPLE_DATE","PROCESS_TYPE","TOTAL_PROCESS","TOTAL_PGA_ALLOCATED_MB","TOTAL_PGA_USED_MB"
"01-09-2021 20:07:54","bkg-process",58,190.15,136.89
"01-09-2021 20:07:54","other-process",6,16.8,12.82
"01-09-2021 20:07:56","bkg-process",58,190.15,136.89
"01-09-2021 20:07:56","other-process",6,16.8,12.01
"01-09-2021 20:07:58","bkg-process",58,190.15,136.89
"01-09-2021 20:07:58","other-process",6,16.8,12.01
"01-09-2021 20:08:00","bkg-process",58,190.15,136.89
"01-09-2021 20:08:00","other-process",6,16.8,12.01
"01-09-2021 20:08:02","bkg-process",58,190.15,136.89
"01-09-2021 20:08:02","other-process",6,16.8,12.01
"01-09-2021 20:08:04","bkg-process",58,190.15,136.95
"01-09-2021 20:08:04","other-process",6,16.8,12.01
"01-09-2021 20:08:06","bkg-process",58,190.15,136.95
"01-09-2021 20:08:06","other-process",6,16.8,12.01
"01-09-2021 20:08:08","bkg-process",58,190.15,136.95
"01-09-2021 20:08:08","other-process",6,16.8,12.01
"01-09-2021 20:08:10","bkg-process",58,190.15,136.95
"01-09-2021 20:08:10","other-process",6,16.8,12.01
"01-09-2021 20:08:12","bkg-process",58,190.15,136.95
"01-09-2021 20:08:12","other-process",6,16.8,12.01
"01-09-2021 20:08:14","bkg-process",58,190.15,136.89
"01-09-2021 20:08:14","other-process",6,16.8,12.01
"01-09-2021 20:08:16","bkg-process",58,190.15,136.89
"01-09-2021 20:08:16","other-process",6,16.8,12.01
"01-09-2021 20:08:18","bkg-process",58,190.15,136.89
"01-09-2021 20:08:18","other-process",6,16.8,12.01
"01-09-2021 20:08:20","bkg-process",58,190.15,136.89
"01-09-2021 20:08:20","other-process",6,16.8,12.01
"01-09-2021 20:08:22","bkg-process",58,190.15,136.89
"01-09-2021 20:08:22","other-process",6,16.8,12.01
"01-09-2021 20:08:25","bkg-process",58,190.15,136.89
"01-09-2021 20:08:25","other-process",6,16.8,12.01
"01-09-2021 20:08:27","bkg-process",58,190.15,136.89
"01-09-2021 20:08:27","other-process",6,16.8,12.01
"01-09-2021 20:08:29","bkg-process",58,190.15,136.89
"01-09-2021 20:08:29","other-process",6,16.8,12.01
"01-09-2021 20:08:31","bkg-process",58,190.15,136.89
"01-09-2021 20:08:31","other-process",6,16.8,12.01
"01-09-2021 20:08:33","bkg-process",58,190.15,136.89
"01-09-2021 20:08:33","other-process",6,16.8,12.01
"01-09-2021 20:08:35","bkg-process",58,190.15,136.89
"01-09-2021 20:08:35","other-process",6,16.8,12.01
"01-09-2021 20:08:37","bkg-process",58,190.15,136.89
"01-09-2021 20:08:37","other-process",6,16.8,12.01
"01-09-2021 20:08:39","bkg-process",58,190.15,136.89
"01-09-2021 20:08:39","other-process",6,16.8,12.01
